County,Median Home Price 2025,Monthly Payment 2025
Wayne County,"$116,570.00",$670.00
White County,"$106,660.00",$610.00
Whiteside County,"$134,050.00",$770.00
Will County,"$344,020.00","$1,980.00"
Williamson County,"$166,120.00",$950.00
Winnebago County,"$177,450.00","$1,020.00"
Woodford County,"$202,250.00","$1,160.00"
Adams County,"$184,580.00","$1,060.00"
Allen County,"$244,030.00","$1,400.00"
Bartholomew County,"$266,790.00","$1,530.00"
Benton County,"$145,770.00",$840.00
Blackford County,"$103,120.00",$590.00
Boone County,"$387,720.00","$2,230.00"
Brown County,"$254,600.00","$1,460.00"
Carroll County,"$180,550.00","$1,040.00"
Cass County,"$126,580.00",$730.00
Clark County,"$247,390.00","$1,420.00"
Clay County,"$139,140.00",$800.00
Clinton County,"$167,740.00",$960.00
Crawford County,"$123,060.00",$710.00
Daviess County,"$199,940.00","$1,150.00"
Dearborn County,"$240,900.00","$1,380.00"
Decatur County,"$202,500.00","$1,160.00"
DeKalb County,"$189,700.00","$1,090.00"
Delaware County,"$149,160.00",$860.00
Dubois County,"$226,600.00","$1,300.00"
Elkhart County,"$228,150.00","$1,310.00"
Fayette County,"$122,420.00",$700.00
Floyd County,"$275,390.00","$1,580.00"
Fountain County,"$142,040.00",$820.00
Franklin County,"$251,090.00","$1,440.00"
Fulton County,"$154,300.00",$890.00
Gibson County,"$180,600.00","$1,040.00"
Grant County,"$129,880.00",$750.00
Greene County,"$136,480.00",$780.00
Hamilton County,"$440,740.00","$2,530.00"
Hancock County,"$303,310.00","$1,740.00"
Harrison County,"$233,340.00","$1,340.00"
Hendricks County,"$321,370.00","$1,850.00"
Henry County,"$149,500.00",$860.00
Howard County,"$184,020.00","$1,060.00"
Huntington County,"$156,110.00",$900.00
Jackson County,"$186,080.00","$1,070.00"
Jasper County,"$218,240.00","$1,250.00"
Jay County,"$117,400.00",$670.00
Jefferson County,"$192,580.00","$1,110.00"
Jennings County,"$164,860.00",$950.00
Johnson County,"$301,210.00","$1,730.00"
Knox County,"$131,690.00",$760.00
Kosciusko County,"$242,910.00","$1,400.00"
LaGrange County,"$266,050.00","$1,530.00"
Lake County,"$252,840.00","$1,450.00"
LaPorte County,"$205,190.00","$1,180.00"
Lawrence County,"$175,410.00","$1,010.00"
Marion County,"$250,610.00","$1,440.00"
Marshall County,"$196,740.00","$1,130.00"
Martin County,"$160,380.00",$920.00
Miami County,"$125,830.00",$720.00
Monroe County,"$316,680.00","$1,820.00"
Montgomery County,"$177,330.00","$1,020.00"
Morgan County,"$275,800.00","$1,590.00"
Newton County,"$170,090.00",$980.00
Noble County,"$195,570.00","$1,120.00"
Ohio County,"$205,260.00","$1,180.00"
Orange County,"$153,450.00",$880.00
Owen County,"$170,630.00",$980.00
Parke County,"$148,540.00",$850.00
Perry County,"$155,690.00",$890.00
Pike County,"$136,920.00",$790.00
Porter County,"$299,500.00","$1,720.00"
Posey County,"$230,920.00","$1,330.00"
Pulaski County,"$143,530.00",$830.00
Putnam County,"$216,070.00","$1,240.00"
Randolph County,"$113,030.00",$650.00
Ripley County,"$218,920.00","$1,260.00"
Rush County,"$166,240.00",$960.00
St. Joseph County,"$209,130.00","$1,200.00"
Scott County,"$155,050.00",$890.00
Shelby County,"$197,690.00","$1,140.00"
Spencer County,"$192,160.00","$1,100.00"
Starke County,"$158,250.00",$910.00
Steuben County,"$217,850.00","$1,250.00"
Sullivan County,"$131,910.00",$760.00
Switzerland County,"$195,350.00","$1,120.00"
Tippecanoe County,"$265,710.00","$1,530.00"
Tipton County,"$180,430.00","$1,040.00"
Union County,"$172,960.00",$990.00
Vanderburgh County,"$198,400.00","$1,140.00"
Vermillion County,"$118,200.00",$680.00
Vigo County,"$154,150.00",$890.00
Wabash County,"$153,130.00",$880.00
Warren County,"$170,620.00",$980.00
Warrick County,"$277,740.00","$1,600.00"
Washington County,"$172,880.00",$990.00
Wayne County,"$145,130.00",$830.00
Wells County,"$194,360.00","$1,120.00"
White County,"$173,810.00","$1,000.00"
Whitley County,"$221,570.00","$1,270.00"
Adair County,"$148,270.00",$850.00
Adams County,"$123,280.00",$710.00
Allamakee County,"$181,280.00","$1,040.00"
Appanoose County,"$126,340.00",$730.00
Audubon County,"$116,420.00",$670.00
Benton County,"$204,430.00","$1,180.00"
Black Hawk County,"$188,960.00","$1,090.00"
Boone County,"$201,630.00","$1,160.00"
Bremer County,"$217,400.00","$1,250.00"
Buchanan County,"$180,750.00","$1,040.00"
Buena Vista County,"$154,910.00",$890.00
Butler County,"$165,040.00",$950.00
Calhoun County,"$120,640.00",$690.00
Carroll County,"$185,290.00","$1,070.00"
Cass County,"$140,570.00",$810.00
Cedar County,"$210,600.00","$1,210.00"
Cerro Gordo County,"$162,510.00",$930.00
Cherokee County,"$153,020.00",$880.00
Chickasaw County,"$173,370.00","$1,000.00"
Clarke County,"$168,940.00",$970.00
Clay County,"$180,860.00","$1,040.00"
Clayton County,"$164,190.00",$940.00
Clinton County,"$162,190.00",$930.00
Crawford County,"$143,740.00",$830.00
Dallas County,"$365,510.00","$2,100.00"
Davis County,"$153,970.00",$880.00
Decatur County,"$115,470.00",$660.00
Delaware County,"$177,900.00","$1,020.00"
Des Moines County,"$144,470.00",$830.00
Dickinson County,"$265,330.00","$1,530.00"
Dubuque County,"$239,030.00","$1,370.00"
Emmet County,"$111,990.00",$640.00
Fayette County,"$137,940.00",$790.00
Floyd County,"$140,570.00",$810.00
Franklin County,"$124,970.00",$720.00
Fremont County,"$155,550.00",$890.00
Greene County,"$148,170.00",$850.00
Grundy County,"$189,380.00","$1,090.00"
Guthrie County,"$170,630.00",$980.00
Hamilton County,"$139,520.00",$800.00
Hancock County,"$136,350.00",$780.00
Hardin County,"$119,170.00",$680.00
Harrison County,"$172,960.00",$990.00
Henry County,"$156,710.00",$900.00
Howard County,"$141,210.00",$810.00
Humboldt County,"$154,910.00",$890.00
Ida County,"$114,740.00",$660.00
Iowa County,"$200,160.00","$1,150.00"
Jackson County,"$179,280.00","$1,030.00"
Jasper County,"$186,450.00","$1,070.00"
Jefferson County,"$170,000.00",$980.00
Johnson County,"$315,550.00","$1,810.00"
Jones County,"$188,980.00","$1,090.00"
Keokuk County,"$118,320.00",$680.00
Kossuth County,"$142,470.00",$820.00
Lee County,"$130,340.00",$750.00
Linn County,"$229,680.00","$1,320.00"
Louisa County,"$145,110.00",$830.00
Lucas County,"$123,380.00",$710.00
Lyon County,"$227,360.00","$1,310.00"
Madison County,"$246,620.00","$1,420.00"
Mahaska County,"$148,590.00",$850.00
Marion County,"$222,620.00","$1,280.00"
Marshall County,"$141,420.00",$810.00
Mills County,"$239,290.00","$1,380.00"
Mitchell County,"$173,050.00",$990.00
Monona County,"$129,290.00",$740.00
Monroe County,"$143,310.00",$820.00
Montgomery County,"$115,900.00",$670.00
Muscatine County,"$181,810.00","$1,050.00"
Brien County,"$167,570.00",$960.00
Osceola County,"$130,550.00",$750.00
Page County,"$126,550.00",$730.00
Palo Alto County,"$125,810.00",$720.00
Plymouth County,"$230,530.00","$1,330.00"
Pocahontas County,"$98,390.00",$570.00
Polk County,"$282,440.00","$1,620.00"
Pottawattamie County,"$226,210.00","$1,300.00"
Poweshiek County,"$194,250.00","$1,120.00"
Ringgold County,"$158,500.00",$910.00
Sac County,"$145,950.00",$840.00
Scott County,"$254,820.00","$1,460.00"
Shelby County,"$164,720.00",$950.00
Sioux County,"$248,450.00","$1,430.00"
Story County,"$285,850.00","$1,640.00"
Tama County,"$147,530.00",$850.00
Taylor County,"$115,690.00",$660.00
Union County,"$124,230.00",$710.00
Van Buren County,"$125,280.00",$720.00
Wapello County,"$119,060.00",$680.00
Warren County,"$263,180.00","$1,510.00"
Washington County,"$202,720.00","$1,170.00"
Wayne County,"$107,880.00",$620.00
Webster County,"$146,060.00",$840.00
Winnebago County,"$139,520.00",$800.00
Winneshiek County,"$252,040.00","$1,450.00"
Woodbury County,"$190,690.00","$1,100.00"
Worth County,"$150,060.00",$860.00
Wright County,"$115,790.00",$670.00
Allen County,"$107,550.00",$620.00
Anderson County,"$158,430.00",$910.00
Atchison County,"$158,430.00",$910.00
Barber County,"$99,300.00",$570.00
Barton County,"$125,550.00",$720.00
Bourbon County,"$115,260.00",$660.00
Brown County,"$119,010.00",$680.00
Butler County,"$231,430.00","$1,330.00"
Chase County,"$113,760.00",$650.00
Chautauqua County,"$67,810.00",$390.00
Cherokee County,"$106,480.00",$610.00
Cheyenne County,"$127,800.00",$730.00
Clark County,"$83,980.00",$480.00
Clay County,"$160,250.00",$920.00
Cloud County,"$103,160.00",$590.00
Coffey County,"$149,430.00",$860.00
Comanche County,"$64,170.00",$370.00
Cowley County,"$119,550.00",$690.00
Crawford County,"$131,120.00",$750.00
Decatur County,"$84,090.00",$480.00
Dickinson County,"$159,070.00",$910.00
Doniphan County,"$130,930.00",$750.00
Douglas County,"$317,800.00","$1,830.00"
Edwards County,"$75,520.00",$430.00
Elk County,"$65,240.00",$370.00
Ellis County,"$226,130.00","$1,300.00"
Ellsworth County,"$124,580.00",$720.00
Finney County,"$204,710.00","$1,180.00"
Ford County,"$142,150.00",$820.00
Franklin County,"$196,360.00","$1,130.00"
Geary County,"$175,200.00","$1,010.00"
Gove County,"$127,470.00",$730.00
Graham County,"$95,120.00",$550.00
Grant County,"$156,610.00",$900.00
Gray County,"$187,140.00","$1,080.00"
Greeley County,"$116,650.00",$670.00
Greenwood County,"$88,480.00",$510.00
Hamilton County,"$128,220.00",$740.00
Harper County,"$82,800.00",$480.00
Harvey County,"$180,500.00","$1,040.00"
Haskell County,"$165,820.00",$950.00
Hodgeman County,"$99,300.00",$570.00
Jackson County,"$212,610.00","$1,220.00"
Jefferson County,"$220,520.00","$1,270.00"
Jewell County,"$66,520.00",$380.00
Johnson County,"$406,240.00","$2,340.00"
Kearny County,"$163,360.00",$940.00
Kingman County,"$115,050.00",$660.00
Kiowa County,"$163,250.00",$940.00
Labette County,"$98,660.00",$570.00
Lane County,"$127,470.00",$730.00
Leavenworth County,"$288,680.00","$1,660.00"
Lincoln County,"$99,190.00",$570.00
Linn County,"$172,370.00",$990.00
Logan County,"$124,900.00",$720.00
Lyon County,"$152,330.00",$880.00
McPherson County,"$212,530.00","$1,220.00"
Marion County,"$122,550.00",$700.00
Marshall County,"$128,010.00",$740.00
Meade County,"$130,690.00",$750.00
Miami County,"$290,980.00","$1,670.00"
Mitchell County,"$117,400.00",$670.00
Montgomery County,"$98,660.00",$570.00
Morris County,"$129,510.00",$740.00
Morton County,"$102,410.00",$590.00
Nemaha County,"$210,060.00","$1,210.00"
Neosho County,"$108,410.00",$620.00
Ness County,"$91,480.00",$530.00
Norton County,"$113,870.00",$650.00
Osage County,"$156,820.00",$900.00
Osborne County,"$90,730.00",$520.00
Ottawa County,"$175,790.00","$1,010.00"
Pawnee County,"$109,690.00",$630.00
Phillips County,"$101,440.00",$580.00
Pottawatomie County,"$236,790.00","$1,360.00"
Pratt County,"$122,650.00",$710.00
Rawlins County,"$106,480.00",$610.00
Reno County,"$133,900.00",$770.00
Republic County,"$81,410.00",$470.00
Rice County,"$113,010.00",$650.00
Riley County,"$235,190.00","$1,350.00"
Rooks County,"$96,410.00",$550.00
Rush County,"$84,950.00",$490.00
Russell County,"$113,980.00",$660.00
Saline County,"$184,140.00","$1,060.00"
Scott County,"$182,210.00","$1,050.00"
Sedgwick County,"$218,410.00","$1,260.00"
Seward County,"$143,540.00",$830.00
Shawnee County,"$201,190.00","$1,160.00"
Sheridan County,"$162,820.00",$940.00
Sherman County,"$135,290.00",$780.00
Smith County,"$97,480.00",$560.00
Stafford County,"$103,590.00",$600.00
Stanton County,"$68,770.00",$400.00
Stevens County,"$133,370.00",$770.00
Sumner County,"$123,630.00",$710.00
Thomas County,"$177,710.00","$1,020.00"
Trego County,"$123,620.00",$710.00
Wabaunsee County,"$195,700.00","$1,120.00"
Wallace County,"$100,910.00",$580.00
Washington County,"$113,660.00",$650.00
Wichita County,"$105,730.00",$610.00
Wilson County,"$100,590.00",$580.00
Woodson County,"$82,590.00",$470.00
Wyandotte County,"$185,470.00","$1,070.00"
Adair County,"$143,740.00",$830.00
Allen County,"$187,990.00","$1,080.00"
Anderson County,"$227,330.00","$1,310.00"
Ballard County,"$141,710.00",$810.00
Barren County,"$177,970.00","$1,020.00"
Bath County,"$119,210.00",$690.00
Bell County,"$88,500.00",$510.00
Boone County,"$302,960.00","$1,740.00"
Bourbon County,"$221,730.00","$1,270.00"
Boyd County,"$135,270.00",$780.00
Boyle County,"$214,010.00","$1,230.00"
Bracken County,"$123,480.00",$710.00
Breathitt County,"$65,900.00",$380.00
Breckinridge County,"$150,770.00",$870.00
Bullitt County,"$277,310.00","$1,590.00"
Butler County,"$112,490.00",$650.00
Caldwell County,"$121,020.00",$700.00
Calloway County,"$193,210.00","$1,110.00"
Campbell County,"$284,820.00","$1,640.00"
Carlisle County,"$111,640.00",$640.00
Carroll County,"$138,410.00",$800.00
Carter County,"$134,460.00",$770.00
Casey County,"$144,700.00",$830.00
Christian County,"$181,530.00","$1,040.00"
Clark County,"$207,380.00","$1,190.00"
Clay County,"$93,090.00",$540.00
Clinton County,"$121,560.00",$700.00
Crittenden County,"$123,370.00",$710.00
Cumberland County,"$137,130.00",$790.00
Daviess County,"$214,710.00","$1,230.00"
Edmonson County,"$145,000.00",$830.00
Elliott County,"$103,860.00",$600.00
Estill County,"$119,320.00",$690.00
Fayette County,"$308,390.00","$1,770.00"
Fleming County,"$122,840.00",$710.00
Floyd County,"$99,490.00",$570.00
Franklin County,"$211,870.00","$1,220.00"
Fulton County,"$83,280.00",$480.00
Gallatin County,"$179,700.00","$1,030.00"
Garrard County,"$199,180.00","$1,140.00"
Grant County,"$196,780.00","$1,130.00"
Graves County,"$148,220.00",$850.00
Grayson County,"$170,710.00",$980.00
Green County,"$126,780.00",$730.00
Greenup County,"$144,910.00",$830.00
Hancock County,"$147,350.00",$850.00
Hardin County,"$258,170.00","$1,480.00"
Harlan County,"$77,950.00",$450.00
Harrison County,"$201,420.00","$1,160.00"
Hart County,"$132,860.00",$760.00
Henderson County,"$175,520.00","$1,010.00"
Henry County,"$193,000.00","$1,110.00"
Hickman County,"$98,420.00",$570.00
Hopkins County,"$137,340.00",$790.00
Jackson County,"$114,090.00",$660.00
Jefferson County,"$266,980.00","$1,530.00"
Jessamine County,"$256,840.00","$1,480.00"
Johnson County,"$133,610.00",$770.00
Kenton County,"$266,790.00","$1,530.00"
Knott County,"$79,550.00",$460.00
Knox County,"$116,440.00",$670.00
Larue County,"$193,190.00","$1,110.00"
Laurel County,"$152,910.00",$880.00
Lawrence County,"$115,270.00",$660.00
Lee County,"$87,540.00",$500.00
Leslie County,"$79,010.00",$450.00
Letcher County,"$75,170.00",$430.00
Lewis County,"$91,810.00",$530.00
Lincoln County,"$148,540.00",$850.00
Livingston County,"$124,010.00",$710.00
Logan County,"$161,540.00",$930.00
Lyon County,"$195,770.00","$1,130.00"
McCracken County,"$191,510.00","$1,100.00"
McCreary County,"$82,110.00",$470.00
McLean County,"$155,920.00",$900.00
Madison County,"$269,880.00","$1,550.00"
Magoffin County,"$94,150.00",$540.00
Marion County,"$169,220.00",$970.00
Marshall County,"$185,220.00","$1,060.00"
Martin County,"$90,530.00",$520.00
Mason County,"$167,940.00",$970.00
Meade County,"$207,580.00","$1,190.00"
Menifee County,"$118,890.00",$680.00
Mercer County,"$202,280.00","$1,160.00"
Metcalfe County,"$109,940.00",$630.00
Monroe County,"$124,010.00",$710.00
Montgomery County,"$174,660.00","$1,000.00"
Morgan County,"$113,030.00",$650.00
Muhlenberg County,"$129,340.00",$740.00
Nelson County,"$238,560.00","$1,370.00"
Nicholas County,"$127,530.00",$730.00
Ohio County,"$120,920.00",$700.00
Oldham County,"$412,500.00","$2,370.00"
Owen County,"$175,940.00","$1,010.00"
Owsley County,"$85,200.00",$490.00
Pendleton County,"$170,570.00",$980.00
Perry County,"$96,710.00",$560.00
Pike County,"$111,110.00",$640.00
Powell County,"$151,840.00",$870.00
Pulaski County,"$202,060.00","$1,160.00"
Robertson County,"$131,580.00",$760.00
Rockcastle County,"$127,210.00",$730.00
Rowan County,"$166,240.00",$960.00
Russell County,"$158,030.00",$910.00
Scott County,"$276,850.00","$1,590.00"
Shelby County,"$295,400.00","$1,700.00"
Simpson County,"$208,670.00","$1,200.00"
Spencer County,"$316,800.00","$1,820.00"
Taylor County,"$174,550.00","$1,000.00"
Todd County,"$167,840.00",$960.00
Trigg County,"$198,820.00","$1,140.00"
Trimble County,"$183,840.00","$1,060.00"
Union County,"$116,230.00",$670.00
Warren County,"$285,220.00","$1,640.00"
Washington County,"$179,460.00","$1,030.00"
Wayne County,"$129,770.00",$750.00
Webster County,"$103,380.00",$590.00
Whitley County,"$128,600.00",$740.00
Wolfe County,"$70,800.00",$410.00
Woodford County,"$283,350.00","$1,630.00"
Parish,"$152,030.00",$870.00
Parish,"$114,670.00",$660.00
Parish,"$293,680.00","$1,690.00"
Parish,"$146,130.00",$840.00
Parish,"$124,400.00",$720.00
Parish,"$170,250.00",$980.00
Parish,"$96,870.00",$560.00
Parish,"$205,400.00","$1,180.00"
Parish,"$165,580.00",$950.00
Parish,"$211,270.00","$1,210.00"
Parish,"$109,700.00",$630.00
Parish,"$174,840.00","$1,000.00"
Parish,"$91,070.00",$520.00
Parish,"$85,280.00",$490.00
Parish,"$105,980.00",$610.00
Parish,"$146,350.00",$840.00
Parish,"$265,770.00","$1,530.00"
Parish,"$90,450.00",$520.00
Parish,"$224,220.00","$1,290.00"
Parish,"$122,640.00",$700.00
Parish,"$121,300.00",$700.00
Parish,"$144,060.00",$830.00
Parish,"$152,650.00",$880.00
Parish,"$185,820.00","$1,070.00"
Parish,"$111,150.00",$640.00
Parish,"$261,300.00","$1,500.00"
Parish,"$150,070.00",$860.00
Parish,"$256,980.00","$1,480.00"
Parish,"$190,500.00","$1,090.00"
Parish,"$141,990.00",$820.00
Parish,"$202,330.00","$1,160.00"
Parish,"$234,610.00","$1,350.00"
Parish,"$93,770.00",$540.00
Parish,"$112,500.00",$650.00
Parish,"$168,700.00",$970.00
Parish,"$309,010.00","$1,780.00"
Parish,"$193,050.00","$1,110.00"
Parish,"$278,150.00","$1,600.00"
Parish,"$183,090.00","$1,050.00"
Parish,"$181,160.00","$1,040.00"
Parish,"$106,810.00",$610.00
Parish,"$128,850.00",$740.00
Parish,"$133,920.00",$770.00
Parish,"$193,730.00","$1,110.00"
Parish,"$258,990.00","$1,490.00"
Parish,"$111,640.00",$640.00
Parish,"$204,710.00","$1,180.00"
Parish,"$185,570.00","$1,070.00"
Parish,"$118,090.00",$680.00
Parish,"$158,770.00",$910.00
Parish,"$132,470.00",$760.00
Parish,"$288,940.00","$1,660.00"
Parish,"$225,930.00","$1,300.00"
Parish,"$83,110.00",$480.00
Parish,"$180,840.00","$1,040.00"
Parish,"$114,070.00",$660.00
Parish,"$165,280.00",$950.00
Parish,"$148,510.00",$850.00
Parish,"$144,270.00",$830.00
Parish,"$109,290.00",$630.00
Parish,"$237,020.00","$1,360.00"
Parish,"$101,010.00",$580.00
Parish,"$276,160.00","$1,590.00"
Parish,"$106,190.00",$610.00
Androscoggin County,"$284,480.00","$1,640.00"
Aroostook County,"$165,100.00",$950.00
Cumberland County,"$499,540.00","$2,870.00"
Franklin County,"$188,950.00","$1,090.00"
Hancock County,"$297,690.00","$1,710.00"
Kennebec County,"$270,750.00","$1,560.00"
Knox County,"$310,950.00","$1,790.00"
Lincoln County,"$327,420.00","$1,880.00"
Oxford County,"$205,630.00","$1,180.00"
Penobscot County,"$252,130.00","$1,450.00"
Piscataquis County,"$163,920.00",$940.00
Sagadahoc County,"$318,660.00","$1,830.00"
Somerset County,"$165,960.00",$950.00
Waldo County,"$255,670.00","$1,470.00"
Washington County,"$157,290.00",$900.00
York County,"$448,590.00","$2,580.00"
Allegany County,"$183,010.00","$1,050.00"
Anne Arundel County,"$486,350.00","$2,800.00"
Baltimore County,"$365,240.00","$2,100.00"
Calvert County,"$500,820.00","$2,880.00"
Caroline County,"$294,280.00","$1,690.00"
Carroll County,"$457,520.00","$2,630.00"
Cecil County,"$345,970.00","$1,990.00"
Charles County,"$433,750.00","$2,490.00"
Dorchester County,"$272,560.00","$1,570.00"
Frederick County,"$489,290.00","$2,810.00"
Garrett County,"$234,430.00","$1,350.00"
Harford County,"$410,110.00","$2,360.00"
Howard County,"$637,130.00","$3,660.00"
Kent County,"$331,760.00","$1,910.00"
Montgomery County,"$673,050.00","$3,870.00"
s County,"$446,760.00","$2,570.00"
s County,"$466,500.00","$2,680.00"
s County,"$436,340.00","$2,510.00"
Somerset County,"$177,810.00","$1,020.00"
Talbot County,"$430,290.00","$2,470.00"
Washington County,"$302,710.00","$1,740.00"
Wicomico County,"$278,460.00","$1,600.00"
Worcester County,"$376,060.00","$2,160.00"
Barnstable County,"$674,510.00","$3,880.00"
Bristol County,"$495,120.00","$2,850.00"
Dukes County,"$1,182,210.00","$6,800.00"
Essex County,"$657,770.00","$3,780.00"
Hampden County,"$319,810.00","$1,840.00"
Middlesex County,"$754,010.00","$4,330.00"
Nantucket County,"$1,485,130.00","$8,540.00"
Norfolk County,"$722,840.00","$4,150.00"
Plymouth County,"$598,590.00","$3,440.00"
Suffolk County,"$720,100.00","$4,140.00"
Worcester County,"$465,840.00","$2,680.00"
Alcona County,"$168,940.00",$970.00
Alger County,"$177,740.00","$1,020.00"
Allegan County,"$284,040.00","$1,630.00"
Alpena County,"$147,810.00",$850.00
Antrim County,"$238,660.00","$1,370.00"
Arenac County,"$138,370.00",$800.00
Baraga County,"$133,440.00",$770.00
Barry County,"$258,130.00","$1,480.00"
Bay County,"$172,880.00",$990.00
Benzie County,"$272,880.00","$1,570.00"
Berrien County,"$259,030.00","$1,490.00"
Branch County,"$158,210.00",$910.00
Calhoun County,"$175,730.00","$1,010.00"
Cass County,"$220,070.00","$1,260.00"
Charlevoix County,"$260,440.00","$1,500.00"
Cheboygan County,"$187,930.00","$1,080.00"
Chippewa County,"$164,220.00",$940.00
Clare County,"$125,930.00",$720.00
Clinton County,"$295,990.00","$1,700.00"
Crawford County,"$160,790.00",$920.00
Delta County,"$157,460.00",$910.00
Dickinson County,"$139,760.00",$800.00
Eaton County,"$242,150.00","$1,390.00"
Emmet County,"$295,300.00","$1,700.00"
Genesee County,"$191,310.00","$1,100.00"
Gladwin County,"$164,330.00",$940.00
Gogebic County,"$106,940.00",$610.00
Grand Traverse County,"$368,130.00","$2,120.00"
Gratiot County,"$146,740.00",$840.00
Hillsdale County,"$182,890.00","$1,050.00"
Houghton County,"$150,490.00",$870.00
Huron County,"$151,560.00",$870.00
Ingham County,"$204,360.00","$1,170.00"
Ionia County,"$234,620.00","$1,350.00"
Iosco County,"$131,830.00",$760.00
Iron County,"$108,870.00",$630.00
Isabella County,"$177,090.00","$1,020.00"
Jackson County,"$220,320.00","$1,270.00"
Kalamazoo County,"$261,770.00","$1,500.00"
Kalkaska County,"$186,960.00","$1,070.00"
Kent County,"$315,010.00","$1,810.00"
Keweenaw County,"$194,580.00","$1,120.00"
Lake County,"$131,830.00",$760.00
Lapeer County,"$252,040.00","$1,450.00"
Leelanau County,"$436,460.00","$2,510.00"
Lenawee County,"$212,600.00","$1,220.00"
Livingston County,"$374,610.00","$2,150.00"
Luce County,"$118,420.00",$680.00
Mackinac County,"$177,630.00","$1,020.00"
Macomb County,"$265,610.00","$1,530.00"
Manistee County,"$178,700.00","$1,030.00"
Marquette County,"$244,350.00","$1,400.00"
Mason County,"$213,780.00","$1,230.00"
Mecosta County,"$182,240.00","$1,050.00"
Menominee County,"$153,070.00",$880.00
Midland County,"$210,130.00","$1,210.00"
Missaukee County,"$175,590.00","$1,010.00"
Monroe County,"$261,630.00","$1,500.00"
Montcalm County,"$215,060.00","$1,240.00"
Montmorency County,"$152,310.00",$880.00
Muskegon County,"$225,840.00","$1,300.00"
Newaygo County,"$188,860.00","$1,090.00"
Oakland County,"$364,050.00","$2,090.00"
Oceana County,"$179,770.00","$1,030.00"
Ogemaw County,"$148,670.00",$850.00
Ontonagon County,"$108,340.00",$620.00
Osceola County,"$149,740.00",$860.00
Oscoda County,"$135,150.00",$780.00
Otsego County,"$210,770.00","$1,210.00"
Presque Isle County,"$145,020.00",$830.00
Roscommon County,"$158,750.00",$910.00
Saginaw County,"$155,690.00",$890.00
St. Clair County,"$250,210.00","$1,440.00"
St. Joseph County,"$179,770.00","$1,030.00"
Sanilac County,"$173,980.00","$1,000.00"
Schoolcraft County,"$132,470.00",$760.00
Shiawassee County,"$195,860.00","$1,130.00"
Tuscola County,"$146,840.00",$840.00
Van Buren County,"$222,170.00","$1,280.00"
Washtenaw County,"$380,690.00","$2,190.00"
Wayne County,"$190,970.00","$1,100.00"
Wexford County,"$171,940.00",$990.00
Aitkin County,"$251,400.00","$1,450.00"
Anoka County,"$365,740.00","$2,100.00"
Becker County,"$285,400.00","$1,640.00"
Beltrami County,"$237,710.00","$1,370.00"
Benton County,"$260,960.00","$1,500.00"
Big Stone County,"$145,110.00",$830.00
Blue Earth County,"$289,490.00","$1,660.00"
Brown County,"$194,300.00","$1,120.00"
Carlton County,"$244,270.00","$1,400.00"
Carver County,"$478,050.00","$2,750.00"
Cass County,"$280,480.00","$1,610.00"
Chippewa County,"$159,330.00",$920.00
Chisago County,"$341,870.00","$1,970.00"
Clay County,"$274,350.00","$1,580.00"
Clearwater County,"$189,380.00","$1,090.00"
Cook County,"$314,380.00","$1,810.00"
Cottonwood County,"$164,680.00",$950.00
Crow Wing County,"$355,440.00","$2,040.00"
Dakota County,"$401,530.00","$2,310.00"
Dodge County,"$279,240.00","$1,610.00"
Douglas County,"$311,920.00","$1,790.00"
Faribault County,"$128,530.00",$740.00
Fillmore County,"$218,140.00","$1,250.00"
Freeborn County,"$176,330.00","$1,010.00"
Goodhue County,"$288,080.00","$1,660.00"
Grant County,"$190,980.00","$1,100.00"
Hennepin County,"$404,670.00","$2,330.00"
Houston County,"$236,370.00","$1,360.00"
Hubbard County,"$273,640.00","$1,570.00"
Isanti County,"$296,440.00","$1,700.00"
Itasca County,"$226,700.00","$1,300.00"
Jackson County,"$155,480.00",$890.00
Kanabec County,"$236,430.00","$1,360.00"
Kandiyohi County,"$246,480.00","$1,420.00"
Kittson County,"$143,720.00",$830.00
Koochiching County,"$153,660.00",$880.00
Lac qui Parle County,"$153,340.00",$880.00
Lake County,"$238,350.00","$1,370.00"
Lake of the Woods County,"$229,910.00","$1,320.00"
Le Sueur County,"$307,650.00","$1,770.00"
Lincoln County,"$162,750.00",$940.00
Lyon County,"$206,490.00","$1,190.00"
McLeod County,"$249,580.00","$1,430.00"
Mahnomen County,"$156,660.00",$900.00
Marshall County,"$163,930.00",$940.00
Martin County,"$169,810.00",$980.00
Meeker County,"$244,770.00","$1,410.00"
Mille Lacs County,"$253,970.00","$1,460.00"
Morrison County,"$253,430.00","$1,460.00"
Mower County,"$183,920.00","$1,060.00"
Murray County,"$191,840.00","$1,100.00"
Nicollet County,"$270,840.00","$1,560.00"
Nobles County,"$191,620.00","$1,100.00"
Norman County,"$145,110.00",$830.00
Olmsted County,"$349,710.00","$2,010.00"
Otter Tail County,"$270,000.00","$1,550.00"
Pennington County,"$202,000.00","$1,160.00"
Pine County,"$241,240.00","$1,390.00"
Pipestone County,"$135,480.00",$780.00
Polk County,"$227,080.00","$1,310.00"
Pope County,"$259,630.00","$1,490.00"
Ramsey County,"$334,540.00","$1,920.00"
Red Lake County,"$168,100.00",$970.00
Redwood County,"$160,830.00",$920.00
Renville County,"$162,430.00",$930.00
Rice County,"$323,040.00","$1,860.00"
Rock County,"$215,580.00","$1,240.00"
Roseau County,"$189,380.00","$1,090.00"
