County,Percent Owner-Occupied,Percent Renter-Occupied
"Bradley County, Tennessee",91.8,8.2
"Davidson County, Tennessee",91.8,8.2
"Greene County, Tennessee",85.7,14.3
"Hamblen County, Tennessee",95.9,4.1
"Hamilton County, Tennessee",92.4,7.6
"Knox County, Tennessee",90.9,9.1
"Madison County, Tennessee",91.5,8.5
"Maury County, Tennessee",95.5,4.5
"Montgomery County, Tennessee",94.2,5.8
"Putnam County, Tennessee",93.7,6.3
"Robertson County, Tennessee",96.7,3.3
"Rutherford County, Tennessee",94.8,5.2
"Sevier County, Tennessee",70.9,29.1
"Shelby County, Tennessee",89.5,10.5
"Sullivan County, Tennessee",89.5,10.5
"Sumner County, Tennessee",94.4,5.6
"Washington County, Tennessee",91.9,8.1
"Williamson County, Tennessee",95.7,4.3
"Wilson County, Tennessee",93.1,6.9
"Angelina County, Texas",85.8,14.2
"Bastrop County, Texas",93.2,6.8
"Bell County, Texas",91.9,8.1
"Bexar County, Texas",90.7,9.3
"Bowie County, Texas",89.9,10.1
"Brazoria County, Texas",89.7,10.3
"Brazos County, Texas",89.6,10.4
"Cameron County, Texas",88.3,11.7
"Collin County, Texas",95.1,4.9
"Comal County, Texas",91.7,8.3
"Coryell County, Texas",93.9,6.1
"Dallas County, Texas",92.1,7.9
"Denton County, Texas",94.8,5.2
"Ector County, Texas",95.4,4.6
"Ellis County, Texas",95.9,4.1
"El Paso County, Texas",92.3,7.7
"Fort Bend County, Texas",95.5,4.5
"Galveston County, Texas",86.6,13.4
"Grayson County, Texas",87.7,12.3
"Gregg County, Texas",87.6,12.4
"Guadalupe County, Texas",95.9,4.1
"Harris County, Texas",91.7,8.3
"Harrison County, Texas",89.1,10.9
"Hays County, Texas",96.1,3.9
"Henderson County, Texas",79.7,20.3
"Hidalgo County, Texas",88.0,12.0
"Hood County, Texas",87.1,12.9
"Hunt County, Texas",90.5,9.5
"Jefferson County, Texas",85.0,15.0
"Johnson County, Texas",90.1,9.9
"Kaufman County, Texas",94.9,5.1
"Liberty County, Texas",87.8,12.2
"Lubbock County, Texas",89.7,10.3
"McLennan County, Texas",88.5,11.5
"Midland County, Texas",96.3,3.7
"Montgomery County, Texas",93.6,6.4
"Nacogdoches County, Texas",85.8,14.2
"Nueces County, Texas",85.2,14.8
"Orange County, Texas",87.1,12.9
"Parker County, Texas",94.8,5.2
"Potter County, Texas",85.9,14.1
"Randall County, Texas",90.5,9.5
"Rockwall County, Texas",93.5,6.5
"San Patricio County, Texas",83.4,16.6
"Smith County, Texas",81.4,18.6
"Starr County, Texas",81.9,18.1
"Tarrant County, Texas",93.1,6.9
"Taylor County, Texas",87.0,13.0
"Tom Green County, Texas",90.4,9.6
"Travis County, Texas",94.4,5.6
"Victoria County, Texas",86.6,13.4
"Walker County, Texas",84.5,15.5
"Webb County, Texas",92.6,7.4
"Wichita County, Texas",88.3,11.7
"Williamson County, Texas",96.2,3.8
"Wise County, Texas",94.0,6.0
"Cache County, Utah",96.6,3.4
"Davis County, Utah",95.7,4.3
"Salt Lake County, Utah",95.1,4.9
"Tooele County, Utah",96.2,3.8
"Utah County, Utah",97.4,2.6
"Washington County, Utah",84.4,15.6
"Weber County, Utah",94.7,5.3
"Chittenden County, Vermont",96.7,3.3
"Albemarle County, Virginia",93.7,6.3
"Arlington County, Virginia",92.0,8.0
"Augusta County, Virginia",96.5,3.5
"Bedford County, Virginia",88.3,11.7
"Chesterfield County, Virginia",96.2,3.8
"Fairfax County, Virginia",96.3,3.7
"Fauquier County, Virginia",93.7,6.3
"Frederick County, Virginia",93.3,6.7
"Hanover County, Virginia",96.1,3.9
"Henrico County, Virginia",93.7,6.3
"James City County, Virginia",97.0,3.0
"Loudoun County, Virginia",97.6,2.4
"Montgomery County, Virginia",85.9,14.1
"Prince William County, Virginia",97.0,3.0
"Roanoke County, Virginia",94.8,5.2
"Rockingham County, Virginia",88.5,11.5
"Spotsylvania County, Virginia",97.3,2.7
"Stafford County, Virginia",97.2,2.8
"York County, Virginia",96.2,3.8
"Alexandria city, Virginia",94.2,5.8
"Chesapeake city, Virginia",96.0,4.0
"Hampton city, Virginia",92.1,7.9
"Lynchburg city, Virginia",84.3,15.7
"Newport News city, Virginia",92.7,7.3
"Norfolk city, Virginia",90.0,10.0
"Portsmouth city, Virginia",93.8,6.2
"Richmond city, Virginia",90.2,9.8
"Roanoke city, Virginia",91.3,8.7
"Suffolk city, Virginia",94.6,5.4
"Virginia Beach city, Virginia",93.4,6.6
"Benton County, Washington",93.2,6.8
"Chelan County, Washington",83.6,16.4
"Clallam County, Washington",89.5,10.5
"Clark County, Washington",96.0,4.0
"Cowlitz County, Washington",95.5,4.5
"Franklin County, Washington",96.3,3.7
"Grant County, Washington",85.4,14.6
"Grays Harbor County, Washington",81.6,18.4
"Island County, Washington",82.2,17.8
"King County, Washington",93.0,7.0
"Kitsap County, Washington",92.4,7.6
"Lewis County, Washington",90.9,9.1
"Mason County, Washington",73.1,26.9
"Pierce County, Washington",94.8,5.2
"Skagit County, Washington",92.0,8.0
"Snohomish County, Washington",95.5,4.5
"Spokane County, Washington",93.2,6.8
"Thurston County, Washington",94.6,5.4
"Whatcom County, Washington",88.8,11.2
"Yakima County, Washington",95.7,4.3
"Berkeley County, West Virginia",92.6,7.4
"Cabell County, West Virginia",86.4,13.6
"Harrison County, West Virginia",88.8,11.2
"Kanawha County, West Virginia",85.2,14.8
"Monongalia County, West Virginia",88.7,11.3
"Raleigh County, West Virginia",81.7,18.3
"Wood County, West Virginia",91.7,8.3
"Brown County, Wisconsin",96.5,3.5
"Chippewa County, Wisconsin",94.0,6.0
"Dane County, Wisconsin",97.1,2.9
"Dodge County, Wisconsin",93.0,7.0
"Eau Claire County, Wisconsin",94.9,5.1
"Fond du Lac County, Wisconsin",95.9,4.1
"Jefferson County, Wisconsin",94.2,5.8
"Kenosha County, Wisconsin",94.8,5.2
"La Crosse County, Wisconsin",94.9,5.1
"Manitowoc County, Wisconsin",93.5,6.5
"Marathon County, Wisconsin",95.3,4.7
"Milwaukee County, Wisconsin",91.6,8.4
"Outagamie County, Wisconsin",96.4,3.6
"Ozaukee County, Wisconsin",95.0,5.0
"Portage County, Wisconsin",95.6,4.4
"Racine County, Wisconsin",93.3,6.7
"Rock County, Wisconsin",92.5,7.5
"St. Croix County, Wisconsin",97.9,2.1
"Sauk County, Wisconsin",89.3,10.7
"Sheboygan County, Wisconsin",94.3,5.7
"Walworth County, Wisconsin",79.5,20.5
"Washington County, Wisconsin",95.0,5.0
"Waukesha County, Wisconsin",95.5,4.5
"Winnebago County, Wisconsin",92.1,7.9
"Wood County, Wisconsin",92.2,7.8
"Laramie County, Wyoming",95.2,4.8
"Natrona County, Wyoming",91.5,8.5
"Arecibo Municipio, Puerto Rico",78.4,21.6
"Bayamón Municipio, Puerto Rico",86.5,13.5
"Caguas Municipio, Puerto Rico",84.4,15.6
"Carolina Municipio, Puerto Rico",79.7,20.3
"Guaynabo Municipio, Puerto Rico",80.6,19.4
"Mayagüez Municipio, Puerto Rico",74.3,25.7
"Ponce Municipio, Puerto Rico",82.1,17.9
"San Juan Municipio, Puerto Rico",75.6,24.4
"Toa Alta Municipio, Puerto Rico",88.9,11.1
"Toa Baja Municipio, Puerto Rico",84.2,15.8
"Trujillo Alto Municipio, Puerto Rico",89.2,10.8
