"State","County","Median Housing Value, 2023 ($)","Median Property Taxes Paid, 2023 ($)(5-Year Estimate)","Effective Property Tax Rate (2023)"
"Georgia","Wilcox County","71200","753","1.0576%"
"Georgia","Wilkes County","105000","1,194","1.1371%"
"Georgia","Wilkinson County","90800","801","0.8822%"
"Georgia","Worth County","112400","1,221","1.0863%"
"Hawaii","Hawaii County","486400","1,392","0.2862%"
"Hawaii","Honolulu County","873000","2,482","0.2843%"
"Hawaii","Kalawao County","","",""
"Hawaii","Kauai County","817900","1,840","0.2250%"
"Hawaii","Maui County","858600","1,442","0.1679%"
"Idaho","Ada County","476000","2,643","0.5553%"
"Idaho","Adams County","327300","1,351","0.4128%"
"Idaho","Bannock County","267200","1,918","0.7178%"
"Idaho","Bear Lake County","234200","1,061","0.4530%"
"Idaho","Benewah County","255800","1,407","0.5500%"
"Idaho","Bingham County","258000","1,389","0.5384%"
"Idaho","Blaine County","663800","2,563","0.3861%"
"Idaho","Boise County","424100","1,571","0.3704%"
"Idaho","Bonner County","433400","1,716","0.3959%"
"Idaho","Bonneville County","327000","1,811","0.5538%"
"Idaho","Boundary County","344100","1,433","0.4164%"
"Idaho","Butte County","195800","986","0.5036%"
"Idaho","Camas County","248900","1,050","0.4219%"
"Idaho","Canyon County","350300","1,996","0.5698%"
"Idaho","Caribou County","220200","1,330","0.6040%"
"Idaho","Cassia County","257300","1,141","0.4435%"
"Idaho","Clark County","203000","592","0.2916%"
"Idaho","Clearwater County","240800","1,447","0.6009%"
"Idaho","Custer County","295600","903","0.3055%"
"Idaho","Elmore County","278300","1,680","0.6037%"
"Idaho","Franklin County","304000","1,512","0.4974%"
"Idaho","Fremont County","281800","1,360","0.4826%"
"Idaho","Gem County","367300","1,443","0.3929%"
"Idaho","Gooding County","231800","1,223","0.5276%"
"Idaho","Idaho County","284600","974","0.3422%"
"Idaho","Jefferson County","335000","1,775","0.5299%"
"Idaho","Jerome County","254000","1,623","0.6390%"
"Idaho","Kootenai County","467400","2,203","0.4713%"
"Idaho","Latah County","342500","2,333","0.6812%"
"Idaho","Lemhi County","282100","1,109","0.3931%"
"Idaho","Lewis County","202400","1,348","0.6660%"
"Idaho","Lincoln County","206700","991","0.4794%"
"Idaho","Madison County","365000","1,813","0.4967%"
"Idaho","Minidoka County","235300","1,218","0.5176%"
"Idaho","Nez Perce County","291300","2,529","0.8682%"
"Idaho","Oneida County","228100","1,171","0.5134%"
"Idaho","Owyhee County","281600","1,355","0.4812%"
"Idaho","Payette County","310700","1,353","0.4355%"
"Idaho","Power County","191200","1,577","0.8248%"
"Idaho","Shoshone County","222700","1,273","0.5716%"
"Idaho","Teton County","595900","2,065","0.3465%"
"Idaho","Twin Falls County","292700","1,951","0.6666%"
"Idaho","Valley County","599500","1,778","0.2966%"
"Idaho","Washington County","250300","1,316","0.5258%"
"Illinois","Adams County","155900","2,461","1.5786%"
"Illinois","Alexander County","58700","966","1.6457%"
"Illinois","Bond County","133100","2,612","1.9624%"
"Illinois","Boone County","198600","4,507","2.2694%"
"Illinois","Brown County","142200","2,090","1.4698%"
"Illinois","Bureau County","121900","2,522","2.0689%"
"Illinois","Calhoun County","174000","2,565","1.4741%"
"Illinois","Carroll County","113500","2,308","2.0335%"
"Illinois","Cass County","95500","2,007","2.1016%"
"Illinois","Champaign County","205100","4,245","2.0697%"
"Illinois","Christian County","112100","1,896","1.6913%"
"Illinois","Clark County","123100","2,073","1.6840%"
"Illinois","Clay County","94300","1,523","1.6151%"
"Illinois","Clinton County","180500","3,356","1.8593%"
"Illinois","Coles County","121900","2,494","2.0459%"
"Illinois","Cook County","305200","6,053","1.9833%"
"Illinois","Crawford County","113700","1,769","1.5558%"
"Illinois","Cumberland County","117700","2,068","1.7570%"
"Illinois","DeKalb County","231900","5,889","2.5395%"
"Illinois","De Witt County","124200","2,297","1.8494%"
"Illinois","Douglas County","142600","2,586","1.8135%"
"Illinois","DuPage County","374100","7,833","2.0938%"
"Illinois","Edgar County","95700","1,478","1.5444%"
"Illinois","Edwards County","97500","1,429","1.4656%"
"Illinois","Effingham County","179800","2,713","1.5089%"
"Illinois","Fayette County","114700","1,740","1.5170%"
"Illinois","Ford County","118100","2,443","2.0686%"
"Illinois","Franklin County","87700","1,316","1.5006%"
"Illinois","Fulton County","102500","2,186","2.1327%"
"Illinois","Gallatin County","84700","1,276","1.5065%"
"Illinois","Greene County","94400","1,564","1.6568%"
"Illinois","Grundy County","259200","5,260","2.0293%"
"Illinois","Hamilton County","108800","1,470","1.3511%"
"Illinois","Hancock County","108400","2,020","1.8635%"
"Illinois","Hardin County","91700","1,078","1.1756%"
"Illinois","Henderson County","101600","1,703","1.6762%"
"Illinois","Henry County","145300","2,877","1.9800%"
"Illinois","Iroquois County","125400","2,449","1.9530%"
"Illinois","Jackson County","125000","2,385","1.9080%"
"Illinois","Jasper County","122900","2,341","1.9048%"
"Illinois","Jefferson County","118400","2,026","1.7111%"
"Illinois","Jersey County","168800","2,957","1.7518%"
"Illinois","Jo Daviess County","193900","3,383","1.7447%"
"Illinois","Johnson County","148200","1,952","1.3171%"
"Illinois","Kane County","303000","7,230","2.3861%"
"Illinois","Kankakee County","185700","4,125","2.2213%"
"Illinois","Kendall County","298900","7,556","2.5279%"
"Illinois","Knox County","104900","2,044","1.9485%"
"Illinois","Lake County","326600","8,743","2.6770%"
"Illinois","LaSalle County","154900","3,336","2.1536%"
"Illinois","Lawrence County","95500","1,156","1.2105%"
"Illinois","Lee County","155100","2,980","1.9213%"
"Illinois","Livingston County","131500","2,867","2.1802%"
"Illinois","Logan County","125900","2,315","1.8388%"
"Illinois","McDonough County","103500","2,238","2.1623%"
"Illinois","McHenry County","286900","7,153","2.4932%"
"Illinois","McLean County","198300","4,503","2.2708%"
"Illinois","Macon County","121800","2,560","2.1018%"
"Illinois","Macoupin County","126100","1,990","1.5781%"
"Illinois","Madison County","167900","3,232","1.9250%"
"Illinois","Marion County","100100","1,709","1.7073%"
"Illinois","Marshall County","137800","2,743","1.9906%"
"Illinois","Mason County","106100","2,277","2.1461%"
"Illinois","Massac County","118000","1,769","1.4992%"
"Illinois","Menard County","179300","2,936","1.6375%"
"Illinois","Mercer County","139300","2,710","1.9454%"
"Illinois","Monroe County","265600","4,523","1.7029%"
"Illinois","Montgomery County","102200","1,758","1.7202%"
"Illinois","Morgan County","128700","2,420","1.8803%"
"Illinois","Moultrie County","121500","2,316","1.9062%"
"Illinois","Ogle County","184100","3,737","2.0299%"
"Illinois","Peoria County","152600","3,416","2.2385%"
"Illinois","Perry County","105200","1,744","1.6578%"
"Illinois","Piatt County","173200","3,040","1.7552%"
"Illinois","Pike County","100100","1,557","1.5554%"
"Illinois","Pope County","165300","1,687","1.0206%"
"Illinois","Pulaski County","81000","668","0.8247%"
"Illinois","Putnam County","167800","2,668","1.5900%"
"Illinois","Randolph County","134100","1,877","1.3997%"
"Illinois","Richland County","106600","1,618","1.5178%"
"Illinois","Rock Island County","144700","3,372","2.3303%"
"Illinois","St. Clair County","168800","3,533","2.0930%"
"Illinois","Saline County","92900","1,445","1.5554%"
"Illinois","Sangamon County","170300","3,369","1.9783%"
"Illinois","Schuyler County","106200","1,940","1.8267%"
"Illinois","Scott County","101700","1,406","1.3825%"
"Illinois","Shelby County","130400","1,955","1.4992%"
"Illinois","Stark County","103500","1,700","1.6425%"
"Illinois","Stephenson County","127500","3,140","2.4627%"
"Illinois","Tazewell County","164500","3,481","2.1161%"
"Illinois","Union County","131700","1,851","1.4055%"
"Illinois","Vermilion County","92900","1,666","1.7933%"
"Illinois","Wabash County","103900","1,528","1.4706%"
"Illinois","Warren County","101300","1,921","1.8963%"
"Illinois","Washington County","149800","2,766","1.8465%"
"Illinois","Wayne County","109400","1,670","1.5265%"
"Illinois","White County","100100","1,388","1.3866%"
"Illinois","Whiteside County","125800","2,676","2.1272%"
"Illinois","Will County","298000","6,993","2.3466%"
"Illinois","Williamson County","145600","2,490","1.7102%"
"Illinois","Winnebago County","155100","3,850","2.4823%"
"Illinois","Woodford County","193800","4,224","2.1796%"
"Indiana","Adams County","173100","1,295","0.7481%"
"Indiana","Allen County","194300","1,559","0.8024%"
"Indiana","Bartholomew County","221100","1,597","0.7223%"
"Indiana","Benton County","135400","1,024","0.7563%"
"Indiana","Blackford County","96700","779","0.8056%"
"Indiana","Boone County","341800","2,725","0.7972%"
"Indiana","Brown County","242500","1,141","0.4705%"
"Indiana","Carroll County","167700","954","0.5689%"
"Indiana","Cass County","118700","824","0.6942%"
"Indiana","Clark County","212400","1,566","0.7373%"
"Indiana","Clay County","128900","589","0.4569%"
"Indiana","Clinton County","157300","979","0.6224%"
"Indiana","Crawford County","115400","851","0.7374%"
"Indiana","Daviess County","187500","1,276","0.6805%"
"Indiana","Dearborn County","227100","1,726","0.7600%"
"Indiana","Decatur County","189900","1,176","0.6193%"
"Indiana","DeKalb County","177900","1,117","0.6279%"
"Indiana","Delaware County","127600","997","0.7813%"
"Indiana","Dubois County","212500","1,382","0.6504%"
"Indiana","Elkhart County","194400","1,592","0.8189%"
"Indiana","Fayette County","114800","878","0.7648%"
"Indiana","Floyd County","235100","1,656","0.7044%"
"Indiana","Fountain County","133200","820","0.6156%"
"Indiana","Franklin County","236700","1,459","0.6164%"
"Indiana","Fulton County","144700","744","0.5142%"
"Indiana","Gibson County","170500","1,244","0.7296%"
"Indiana","Grant County","116000","790","0.6810%"
"Indiana","Greene County","129900","895","0.6890%"
"Indiana","Hamilton County","379100","3,340","0.8810%"
"Indiana","Hancock County","258100","1,756","0.6804%"
"Indiana","Harrison County","219200","1,195","0.5452%"
"Indiana","Hendricks County","281500","2,344","0.8327%"
"Indiana","Henry County","140200","1,050","0.7489%"
"Indiana","Howard County","151500","1,110","0.7327%"
"Indiana","Huntington County","146400","1,070","0.7309%"
"Indiana","Jackson County","174500","824","0.4722%"
"Indiana","Jasper County","204400","998","0.4883%"
"Indiana","Jay County","110100","665","0.6040%"
"Indiana","Jefferson County","180600","1,191","0.6595%"
"Indiana","Jennings County","154600","903","0.5841%"
"Indiana","Johnson County","260400","1,875","0.7200%"
"Indiana","Knox County","123500","895","0.7247%"
"Indiana","Kosciusko County","200300","1,198","0.5981%"
"Indiana","LaGrange County","249500","1,352","0.5419%"
"Indiana","Lake County","214700","1,987","0.9255%"
"Indiana","LaPorte County","180700","1,435","0.7941%"
"Indiana","Lawrence County","164500","994","0.6043%"
"Indiana","Madison County","147700","1,128","0.7637%"
"Indiana","Marion County","207000","1,923","0.9290%"
"Indiana","Marshall County","184500","1,260","0.6829%"
"Indiana","Martin County","150400","798","0.5306%"
"Indiana","Miami County","118000","682","0.5780%"
"Indiana","Monroe County","261700","1,837","0.7019%"
"Indiana","Montgomery County","166300","1,047","0.6296%"
"Indiana","Morgan County","220100","1,056","0.4798%"
"Indiana","Newton County","159300","1,316","0.8261%"
"Indiana","Noble County","183400","1,250","0.6816%"
"Indiana","Ohio County","193500","1,179","0.6093%"
"Indiana","Orange County","143900","832","0.5782%"
"Indiana","Owen County","162400","1,091","0.6718%"
"Indiana","Parke County","139300","691","0.4961%"
"Indiana","Perry County","146000","1,041","0.7130%"
"Indiana","Pike County","128400","1,044","0.8131%"
"Indiana","Porter County","261900","2,172","0.8293%"
"Indiana","Posey County","218000","1,370","0.6284%"
"Indiana","Pulaski County","134600","646","0.4799%"
"Indiana","Putnam County","205800","978","0.4752%"
"Indiana","Randolph County","106000","881","0.8311%"
"Indiana","Ripley County","205300","1,182","0.5757%"
"Indiana","Rush County","155900","1,013","0.6498%"
"Indiana","St. Joseph County","179800","1,559","0.8671%"
"Indiana","Scott County","145400","931","0.6403%"
"Indiana","Shelby County","188300","1,327","0.7047%"
"Indiana","Spencer County","180200","1,138","0.6315%"
"Indiana","Starke County","148400","895","0.6031%"
"Indiana","Steuben County","204300","1,188","0.5815%"
"Indiana","Sullivan County","122200","825","0.6751%"
"Indiana","Switzerland County","183200","755","0.4121%"
"Indiana","Tippecanoe County","217600","1,355","0.6227%"
"Indiana","Tipton County","166000","1,069","0.6440%"
"Indiana","Union County","162200","1,144","0.7053%"
"Indiana","Vanderburgh County","172300","1,420","0.8241%"
"Indiana","Vermillion County","109500","789","0.7205%"
"Indiana","Vigo County","140400","1,256","0.8946%"
"Indiana","Wabash County","143600","765","0.5327%"
"Indiana","Warren County","160000","824","0.5150%"
"Indiana","Warrick County","228900","1,497","0.6540%"
"Indiana","Washington County","162400","1,058","0.6515%"
"Indiana","Wayne County","126100","1,101","0.8731%"
"Indiana","Wells County","180000","920","0.5111%"
"Indiana","White County","163000","865","0.5307%"
"Indiana","Whitley County","205200","1,432","0.6979%"
"Iowa","Adair County","140600","1,858","1.3215%"
"Iowa","Adams County","116900","1,479","1.2652%"
"Iowa","Allamakee County","171900","2,103","1.2234%"
"Iowa","Appanoose County","119800","1,501","1.2529%"
"Iowa","Audubon County","110400","1,353","1.2255%"
"Iowa","Benton County","198400","2,627","1.3241%"
"Iowa","Black Hawk County","182400","2,790","1.5296%"
"Iowa","Boone County","191200","2,741","1.4336%"
"Iowa","Bremer County","207200","2,796","1.3494%"
"Iowa","Buchanan County","171400","2,286","1.3337%"
"Iowa","Buena Vista County","146900","1,822","1.2403%"
"Iowa","Butler County","156500","2,158","1.3789%"
"Iowa","Calhoun County","114400","1,506","1.3164%"
"Iowa","Carroll County","175700","1,849","1.0524%"
"Iowa","Cass County","133300","1,904","1.4284%"
"Iowa","Cedar County","199700","2,433","1.2183%"
"Iowa","Cerro Gordo County","154100","2,305","1.4958%"
"Iowa","Cherokee County","145100","1,561","1.0758%"
"Iowa","Chickasaw County","164400","1,804","1.0973%"
"Iowa","Clarke County","160200","2,335","1.4576%"
"Iowa","Clay County","171500","2,028","1.1825%"
"Iowa","Clayton County","155700","2,149","1.3802%"
"Iowa","Clinton County","153800","2,382","1.5488%"
"Iowa","Crawford County","136300","1,799","1.3199%"
"Iowa","Dallas County","333400","4,849","1.4544%"
"Iowa","Davis County","146000","2,217","1.5185%"
"Iowa","Decatur County","109500","1,856","1.6950%"
"Iowa","Delaware County","168700","2,266","1.3432%"
"Iowa","Des Moines County","137000","2,097","1.5307%"
"Iowa","Dickinson County","251600","2,458","0.9769%"
"Iowa","Dubuque County","226100","2,848","1.2596%"
"Iowa","Emmet County","106200","1,570","1.4783%"
"Iowa","Fayette County","130800","1,721","1.3157%"
"Iowa","Floyd County","133300","1,854","1.3908%"
"Iowa","Franklin County","118500","1,597","1.3477%"
"Iowa","Fremont County","147500","1,918","1.3003%"
"Iowa","Greene County","140500","1,682","1.1972%"
"Iowa","Grundy County","180500","1,929","1.0687%"
"Iowa","Guthrie County","163900","2,172","1.3252%"
"Iowa","Hamilton County","132300","1,807","1.3658%"
"Iowa","Hancock County","129300","1,541","1.1918%"
"Iowa","Hardin County","113000","1,613","1.4274%"
"Iowa","Harrison County","165300","2,214","1.3394%"
"Iowa","Henry County","148600","2,394","1.6110%"
"Iowa","Howard County","133900","1,744","1.3025%"
"Iowa","Humboldt County","146900","1,889","1.2859%"
"Iowa","Ida County","108800","1,158","1.0643%"
"Iowa","Iowa County","189800","2,560","1.3488%"
"Iowa","Jackson County","170000","2,129","1.2524%"
"Iowa","Jasper County","176800","2,518","1.4242%"
"Iowa","Jefferson County","161200","2,397","1.4870%"
"Iowa","Johnson County","293100","4,587","1.5650%"
"Iowa","Jones County","183400","2,381","1.2983%"
"Iowa","Keokuk County","112200","1,491","1.3289%"
"Iowa","Kossuth County","135100","1,437","1.0637%"
"Iowa","Lee County","123600","1,855","1.5008%"
"Iowa","Linn County","204400","3,396","1.6614%"
"Iowa","Louisa County","137600","1,752","1.2733%"
"Iowa","Lucas County","117000","1,732","1.4803%"
"Iowa","Lyon County","215600","1,983","0.9198%"
"Iowa","Madison County","236900","3,681","1.5538%"
"Iowa","Mahaska County","140900","1,956","1.3882%"
"Iowa","Marion County","211100","2,727","1.2918%"
"Iowa","Marshall County","134100","2,030","1.5138%"
"Iowa","Mills County","228700","3,334","1.4578%"
"Iowa","Mitchell County","164100","1,897","1.1560%"
"Iowa","Monona County","122600","1,412","1.1517%"
"Iowa","Monroe County","135900","2,065","1.5195%"
"Iowa","Montgomery County","109900","1,968","1.7907%"
"Iowa","Muscatine County","172400","2,667","1.5470%"
"Iowa","O'Brien County","158900","1,572","0.9893%"
"Iowa","Osceola County","123800","1,302","1.0517%"
"Iowa","Page County","120000","1,721","1.4342%"
"Iowa","Palo Alto County","119300","1,471","1.2330%"
"Iowa","Plymouth County","218600","2,363","1.0810%"
"Iowa","Pocahontas County","93300","1,066","1.1426%"
"Iowa","Polk County","248400","4,364","1.7568%"
"Iowa","Pottawattamie County","183600","2,961","1.6127%"
"Iowa","Poweshiek County","184200","2,362","1.2823%"
"Iowa","Ringgold County","150300","1,909","1.2701%"
"Iowa","Sac County","138400","1,423","1.0282%"
"Iowa","Scott County","212500","3,221","1.5158%"
"Iowa","Shelby County","156200","1,976","1.2650%"
"Iowa","Sioux County","235600","2,722","1.1553%"
"Iowa","Story County","243600","3,586","1.4721%"
"Iowa","Tama County","139900","1,945","1.3903%"
"Iowa","Taylor County","109700","1,329","1.2115%"
"Iowa","Union County","117800","2,108","1.7895%"
"Iowa","Van Buren County","118800","1,427","1.2012%"
"Iowa","Wapello County","112900","1,854","1.6422%"
"Iowa","Warren County","252800","3,797","1.5020%"
"Iowa","Washington County","199600","2,688","1.3467%"
"Iowa","Wayne County","102300","1,377","1.3460%"
"Iowa","Webster County","138500","2,047","1.4780%"
"Iowa","Winnebago County","132300","1,800","1.3605%"
"Iowa","Winneshiek County","239000","2,784","1.1649%"
"Iowa","Woodbury County","172000","2,542","1.4779%"
"Iowa","Worth County","142300","1,530","1.0752%"
"Iowa","Wright County","109800","1,695","1.5437%"
"Kansas","Allen County","100400","1,659","1.6524%"
"Kansas","Anderson County","147900","2,260","1.5281%"
"Kansas","Atchison County","147900","1,941","1.3124%"
"Kansas","Barber County","92700","1,542","1.6634%"
"Kansas","Barton County","117200","1,948","1.6621%"
"Kansas","Bourbon County","107600","1,797","1.6701%"
"Kansas","Brown County","111100","1,387","1.2484%"
"Kansas","Butler County","199600","2,918","1.4619%"
"Kansas","Chase County","106200","1,694","1.5951%"
"Kansas","Chautauqua County","63300","1,012","1.5987%"
"Kansas","Cherokee County","99400","1,219","1.2264%"
"Kansas","Cheyenne County","119300","1,673","1.4023%"
"Kansas","Clark County","78400","1,610","2.0536%"
"Kansas","Clay County","149600","2,061","1.3777%"
"Kansas","Cloud County","96300","1,722","1.7882%"
"Kansas","Coffey County","139500","1,618","1.1599%"
"Kansas","Comanche County","59900","1,369","2.2855%"
"Kansas","Cowley County","111600","1,878","1.6828%"
"Kansas","Crawford County","122400","1,375","1.1234%"
"Kansas","Decatur County","78500","1,408","1.7936%"
"Kansas","Dickinson County","148500","2,123","1.4296%"
"Kansas","Doniphan County","121200","1,406","1.1601%"
"Kansas","Douglas County","281600","3,508","1.2457%"
"Kansas","Edwards County","70500","1,123","1.5929%"
"Kansas","Elk County","60900","1,211","1.9885%"
"Kansas","Ellis County","211100","2,582","1.2231%"
"Kansas","Ellsworth County","116300","1,766","1.5185%"
"Kansas","Finney County","191100","2,733","1.4301%"
"Kansas","Ford County","132700","2,190","1.6503%"
"Kansas","Franklin County","187400","2,737","1.4605%"
"Kansas","Geary County","165000","2,537","1.5376%"
"Kansas","Gove County","119000","1,581","1.3286%"
"Kansas","Graham County","88800","1,538","1.7320%"
"Kansas","Grant County","146200","1,911","1.3071%"
"Kansas","Gray County","174700","2,461","1.4087%"
"Kansas","Greeley County","108900","2,080","1.9100%"
"Kansas","Greenwood County","82600","1,360","1.6465%"
"Kansas","Hamilton County","119700","1,881","1.5714%"
"Kansas","Harper County","77300","1,379","1.7840%"
"Kansas","Harvey County","173300","2,517","1.4524%"
"Kansas","Haskell County","154800","2,226","1.4380%"
"Kansas","Hodgeman County","92700","1,638","1.7670%"
"Kansas","Jackson County","193600","2,304","1.1901%"
"Kansas","Jefferson County","200800","2,562","1.2759%"
"Kansas","Jewell County","62100","1,222","1.9678%"
"Kansas","Johnson County","366000","4,221","1.1533%"
"Kansas","Kearny County","152500","1,867","1.2243%"
"Kansas","Kingman County","107400","1,916","1.7840%"
"Kansas","Kiowa County","152400","1,766","1.1588%"
"Kansas","Labette County","92100","1,499","1.6276%"
"Kansas","Lane County","119000","1,708","1.4353%"
"Kansas","Leavenworth County","260600","3,136","1.2034%"
"Kansas","Lincoln County","92600","1,432","1.5464%"
"Kansas","Linn County","164500","1,800","1.0942%"
"Kansas","Logan County","116600","2,117","1.8156%"
"Kansas","Lyon County","142200","2,272","1.5977%"
"Kansas","McPherson County","198400","2,780","1.4012%"
"Kansas","Marion County","114400","1,974","1.7255%"
"Kansas","Marshall County","119500","1,529","1.2795%"
"Kansas","Meade County","122000","1,858","1.5230%"
"Kansas","Miami County","277700","3,406","1.2265%"
"Kansas","Mitchell County","109600","2,084","1.9015%"
"Kansas","Montgomery County","92100","1,562","1.6960%"
"Kansas","Morris County","120900","1,870","1.5467%"
"Kansas","Morton County","95600","1,952","2.0418%"
"Kansas","Nemaha County","196100","1,917","0.9776%"
"Kansas","Neosho County","101200","1,501","1.4832%"
"Kansas","Ness County","85400","1,678","1.9649%"
"Kansas","Norton County","106300","1,585","1.4911%"
"Kansas","Osage County","142800","2,282","1.5980%"
"Kansas","Osborne County","84700","1,365","1.6116%"
"Kansas","Ottawa County","164100","2,651","1.6155%"
"Kansas","Pawnee County","102400","1,832","1.7891%"
"Kansas","Phillips County","94700","1,607","1.6969%"
"Kansas","Pottawatomie County","223000","2,475","1.1099%"
"Kansas","Pratt County","114500","2,019","1.7633%"
"Kansas","Rawlins County","99400","1,651","1.6610%"
"Kansas","Reno County","125000","2,180","1.7440%"
"Kansas","Republic County","76000","1,290","1.6974%"
"Kansas","Rice County","105500","1,636","1.5507%"
"Kansas","Riley County","231200","3,317","1.4347%"
"Kansas","Rooks County","90000","1,593","1.7700%"
"Kansas","Rush County","79300","1,504","1.8966%"
"Kansas","Russell County","106400","1,863","1.7509%"
"Kansas","Saline County","171900","2,283","1.3281%"
"Kansas","Scott County","170100","2,606","1.5320%"
"Kansas","Sedgwick County","190700","2,345","1.2297%"
"Kansas","Seward County","134000","2,257","1.6843%"
"Kansas","Shawnee County","170400","2,500","1.4671%"
"Kansas","Sheridan County","152000","2,331","1.5336%"
"Kansas","Sherman County","126300","1,986","1.5724%"
"Kansas","Smith County","91000","1,503","1.6516%"
"Kansas","Stafford County","96700","1,505","1.5564%"
"Kansas","Stanton County","64200","1,586","2.4704%"
"Kansas","Stevens County","124500","2,239","1.7984%"
"Kansas","Sumner County","118700","2,024","1.7051%"
"Kansas","Thomas County","165900","2,192","1.3213%"
"Kansas","Trego County","115400","1,680","1.4558%"
"Kansas","Wabaunsee County","178200","2,270","1.2738%"
"Kansas","Wallace County","94200","1,449","1.5382%"
"Kansas","Washington County","106100","1,551","1.4618%"
"Kansas","Wichita County","98700","1,449","1.4681%"
"Kansas","Wilson County","93900","1,294","1.3781%"
"Kansas","Woodson County","77100","1,396","1.8106%"
"Kansas","Wyandotte County","152700","2,240","1.4669%"
"Kentucky","Adair County","134800","922","0.6840%"
"Kentucky","Allen County","176300","972","0.5513%"
"Kentucky","Anderson County","213200","1,698","0.7964%"
"Kentucky","Ballard County","132900","1,067","0.8029%"
"Kentucky","Barren County","166900","1,212","0.7262%"
"Kentucky","Bath County","111800","817","0.7308%"
"Kentucky","Bell County","83000","617","0.7434%"
"Kentucky","Boone County","253200","2,273","0.8977%"
"Kentucky","Bourbon County","211600","1,563","0.7387%"
"Kentucky","Boyd County","126300","1,233","0.9762%"
"Kentucky","Boyle County","200700","1,712","0.8530%"
"Kentucky","Bracken County","116400","1,093","0.9390%"
"Kentucky","Breathitt County","61800","521","0.8430%"
"Kentucky","Breckinridge County","141400","855","0.6047%"
"Kentucky","Bullitt County","233700","1,994","0.8532%"
"Kentucky","Butler County","105500","594","0.5630%"
"Kentucky","Caldwell County","113500","594","0.5233%"
"Kentucky","Calloway County","181200","1,215","0.6705%"
"Kentucky","Campbell County","234500","2,495","1.0640%"
"Kentucky","Carlisle County","104700","887","0.8472%"
"Kentucky","Carroll County","129800","982","0.7565%"
"Kentucky","Carter County","126100","622","0.4933%"
"Kentucky","Casey County","135700","810","0.5969%"
"Kentucky","Christian County","149200","1,065","0.7138%"
"Kentucky","Clark County","197900","1,448","0.7317%"
"Kentucky","Clay County","87300","598","0.6850%"
"Kentucky","Clinton County","114000","627","0.5500%"
"Kentucky","Crittenden County","115700","650","0.5618%"
"Kentucky","Cumberland County","128600","786","0.6112%"
"Kentucky","Daviess County","185800","1,595","0.8584%"
"Kentucky","Edmonson County","136600","795","0.5820%"
"Kentucky","Elliott County","97400","671","0.6889%"
"Kentucky","Estill County","111900","773","0.6908%"
"Kentucky","Fayette County","272100","2,425","0.8912%"
"Kentucky","Fleming County","115200","824","0.7153%"
"Kentucky","Floyd County","93300","697","0.7471%"
"Kentucky","Franklin County","198700","1,672","0.8415%"
"Kentucky","Fulton County","78100","562","0.7196%"
"Kentucky","Gallatin County","169400","1,368","0.8076%"
"Kentucky","Garrard County","186800","1,344","0.7195%"
"Kentucky","Grant County","185500","1,339","0.7218%"
"Kentucky","Graves County","139000","929","0.6683%"
"Kentucky","Grayson County","160100","896","0.5597%"
"Kentucky","Green County","118900","752","0.6325%"
"Kentucky","Greenup County","135300","1,273","0.9409%"
"Kentucky","Hancock County","137600","935","0.6795%"
"Kentucky","Hardin County","205900","1,451","0.7047%"
"Kentucky","Harlan County","73100","722","0.9877%"
"Kentucky","Harrison County","188900","1,282","0.6787%"
"Kentucky","Hart County","124600","935","0.7504%"
"Kentucky","Henderson County","165700","1,455","0.8781%"
"Kentucky","Henry County","181300","1,489","0.8213%"
"Kentucky","Hickman County","92300","756","0.8191%"
"Kentucky","Hopkins County","128800","1,057","0.8207%"
"Kentucky","Jackson County","107000","683","0.6383%"
"Kentucky","Jefferson County","237200","2,023","0.8529%"
"Kentucky","Jessamine County","245100","1,889","0.7707%"
"Kentucky","Johnson County","125300","808","0.6449%"
"Kentucky","Kenton County","227500","2,284","1.0040%"
"Kentucky","Knott County","74600","536","0.7185%"
"Kentucky","Knox County","109200","803","0.7353%"
"Kentucky","Larue County","177500","1,118","0.6299%"
"Kentucky","Laurel County","143400","845","0.5893%"
"Kentucky","Lawrence County","108100","733","0.6781%"
"Kentucky","Lee County","82100","696","0.8477%"
"Kentucky","Leslie County","74100","532","0.7179%"
"Kentucky","Letcher County","70500","657","0.9319%"
"Kentucky","Lewis County","86100","558","0.6481%"
"Kentucky","Lincoln County","139300","1,020","0.7322%"
"Kentucky","Livingston County","116300","731","0.6285%"
"Kentucky","Logan County","151500","945","0.6238%"
"Kentucky","Lyon County","183600","1,016","0.5534%"
"Kentucky","McCracken County","182900","1,342","0.7337%"
"Kentucky","McCreary County","77000","565","0.7338%"
"Kentucky","McLean County","145600","984","0.6758%"
"Kentucky","Madison County","220700","1,631","0.7390%"
"Kentucky","Magoffin County","88300","643","0.7282%"
"Kentucky","Marion County","158700","1,124","0.7083%"
"Kentucky","Marshall County","173700","1,246","0.7173%"
"Kentucky","Martin County","84900","657","0.7739%"
"Kentucky","Mason County","157500","998","0.6337%"
"Kentucky","Meade County","195000","1,386","0.7108%"
"Kentucky","Menifee County","111500","558","0.5004%"
"Kentucky","Mercer County","189700","1,553","0.8187%"
"Kentucky","Metcalfe County","103100","743","0.7207%"
"Kentucky","Monroe County","116300","892","0.7670%"
"Kentucky","Montgomery County","163800","1,222","0.7460%"
"Kentucky","Morgan County","106000","802","0.7566%"
"Kentucky","Muhlenberg County","121300","842","0.6941%"
